scrip,kind,a,b,c,d
RUNNERAUTO,signal,Bullish Harami,52,30.8,-1.84
RUNNERAUTO,signal,52w-low breakdown,35,60.0,-2.32
RUNNERAUTO,bounce,2025-11-03,30.7,42.5,38
RUNNERAUTO,bounce,2025-11-18,37.7,46.0,22
RUNNERAUTO,bounce,2025-12-21,33.0,39.9,21
RUNNERAUTO,bounce,2026-03-08,29.2,41.8,43
RUNNERAUTO,bounce,2026-04-06,35.7,42.7,20
RUNNERAUTO,bounce,2026-04-15,37.1,45.8,23
RUNNERAUTO,bounce,2026-04-28,37.0,42.8,16
RUNNERAUTO,bounce,2026-05-18,36.0,45.8,27
RUPALIBANK,signal,Stretch<-30% vs MA200,401,61.8,24.83
RUPALIBANK,signal,Stretch>50% vs MA200,402,71.1,16.14
RUPALIBANK,signal,Stochastic<20,1591,51.4,14.46
RUPALIBANK,signal,RSI>70 overbought,197,69.0,11.41
RUPALIBANK,signal,Stochastic>80,621,70.4,11.35
RUPALIBANK,signal,Inverted Hammer,95,47.4,11.35
RUPALIBANK,signal,Above upper Bollinger,349,66.5,9.61
RUPALIBANK,signal,Below lower Bollinger,214,49.5,6.56
RUPALIBANK,signal,Bullish Engulfing,123,43.9,2.18
RUPALIBANK,signal,Above the Stomach,146,41.8,1.41
RUPALIBANK,signal,RSI<30 oversold,219,57.1,1.36
RUPALIBANK,signal,Shooting Star,36,61.1,0.92
RUPALIBANK,signal,Bearish Harami,95,56.8,-0.16
RUPALIBANK,signal,Bullish Harami,209,39.2,-0.42
RUPALIBANK,signal,Morning Star,110,44.5,-1.33
RUPALIBANK,signal,Three Outside Up,38,39.5,-2.19
RUPALIBANK,signal,Three Outside Down,125,55.2,-3.04
RUPALIBANK,signal,52w-low breakdown,101,41.6,-3.32
RUPALIBANK,signal,Double Bottom,93,39.8,-4.16
RUPALIBANK,signal,Bearish Engulfing,277,57.8,-4.65
RUPALIBANK,signal,MACD bull cross,199,35.7,-4.92
RUPALIBANK,signal,Price reclaims MA200,156,32.7,-5.81
RUPALIBANK,signal,Three Inside Up,31,41.9,-5.85
RUPALIBANK,signal,Bearish Marubozu,45,53.3,-6.51
RUPALIBANK,signal,Three Black Crows,91,47.3,-7.58
RUPALIBANK,signal,MACD bear cross,198,48.0,-8.15
RUPALIBANK,signal,Double Top,98,50.0,-10.86
RUPALIBANK,signal,52w-high breakout,64,32.8,-12.21
RUPALIBANK,signal,Evening Star,75,52.0,-14.39
RUPALIBANK,signal,Below the Stomach,123,48.8,-17.17
RUPALIBANK,bounce,2024-10-21,20.3,24.0,18
RUPALIBANK,bounce,2024-12-26,20.1,26.2,30
RUPALIBANK,bounce,2025-06-01,16.4,25.9,58
RUPALIBANK,bounce,2025-07-22,21.5,25.4,18
RUPALIBANK,bounce,2025-08-24,20.8,25.9,25
RUPALIBANK,bounce,2025-11-13,16.0,18.8,18
RUPALIBANK,bounce,2025-12-22,16.3,20.9,28
RUPALIBANK,bounce,2026-04-05,16.1,20.3,26
RUPALIINS,signal,Stretch<-30% vs MA200,269,66.5,5.44
RUPALIINS,signal,Stretch>50% vs MA200,119,64.7,3.57
RUPALIINS,signal,Stochastic<20,1108,53.7,3.23
RUPALIINS,signal,Below lower Bollinger,242,54.1,2.82
RUPALIINS,signal,Bullish Engulfing,94,51.1,2.25
RUPALIINS,signal,RSI<30 oversold,275,56.7,2.07
RUPALIINS,signal,Stochastic>80,551,56.1,1.82
RUPALIINS,signal,Above the Stomach,94,40.4,0.92
RUPALIINS,signal,Double Bottom,77,41.6,0.78
RUPALIINS,signal,Three Black Crows,75,58.7,0.77
RUPALIINS,signal,Three Outside Up,46,50.0,0.76
RUPALIINS,signal,Bullish Harami,213,47.4,0.64
RUPALIINS,signal,Dark Cloud Cover,37,59.5,0.53
RUPALIINS,signal,Three Inside Up,32,50.0,0.43
RUPALIINS,signal,Evening Star,65,58.5,0.34
RUPALIINS,signal,Bearish Engulfing,290,57.6,0.17
RUPALIINS,signal,MACD bull cross,151,47.0,0.11
RUPALIINS,signal,Inverted Hammer,85,47.1,0.03
RUPALIINS,signal,Above upper Bollinger,283,53.4,-0.04
RUPALIINS,signal,Morning Star,81,38.3,-0.12
RUPALIINS,signal,RSI>70 overbought,233,54.1,-0.38
RUPALIINS,signal,Three Outside Down,143,51.7,-0.38
RUPALIINS,signal,Price reclaims MA200,101,46.5,-0.54
RUPALIINS,signal,Bearish Harami,88,56.8,-1.32
RUPALIINS,signal,Shooting Star,34,47.1,-1.59
RUPALIINS,signal,Bearish Marubozu,51,45.1,-2.55
RUPALIINS,signal,MACD bear cross,152,54.6,-3.37
RUPALIINS,signal,52w-low breakdown,75,34.7,-4.8
RUPALIINS,signal,Double Top,59,57.6,-5.14
RUPALIINS,signal,Below the Stomach,71,43.7,-5.72
RUPALIINS,signal,52w-high breakout,47,27.7,-8.46
RUPALIINS,bounce,2024-10-28,17.2,26.0,51
RUPALIINS,bounce,2025-06-22,17.9,23.4,31
RUPALIINS,bounce,2025-08-17,20.6,26.7,30
RUPALIINS,bounce,2025-11-16,18.0,22.8,27
RUPALIINS,bounce,2025-12-21,20.1,25.1,25
RUPALIINS,bounce,2026-03-08,20.6,23.7,15
RUPALIINS,bounce,2026-04-05,21.8,26.0,19
RUPALIINS,bounce,2026-05-06,23.0,29.8,30
RUPALILIFE,signal,Stretch<-30% vs MA200,284,58.8,2.02
RUPALILIFE,signal,Double Bottom,55,50.9,1.78
RUPALILIFE,signal,52w-high breakout,95,41.1,1.68
RUPALILIFE,signal,Three Inside Up,35,51.4,1.59
RUPALILIFE,signal,Bullish Harami,206,49.5,1.36
RUPALILIFE,signal,Stretch>50% vs MA200,180,56.1,0.62
RUPALILIFE,signal,Below the Stomach,65,53.8,0.25
RUPALILIFE,signal,Bullish Engulfing,90,50.0,0.17
RUPALILIFE,signal,Three Black Crows,77,54.5,0.12
RUPALILIFE,signal,Double Top,83,56.6,0.0
RUPALILIFE,signal,RSI<30 oversold,174,52.3,-0.24
RUPALILIFE,signal,Above the Stomach,99,44.4,-0.28
RUPALILIFE,signal,MACD bear cross,142,57.0,-0.3
RUPALILIFE,signal,Three Outside Down,134,50.7,-0.31
RUPALILIFE,signal,Three Outside Up,42,47.6,-0.32
RUPALILIFE,signal,Inverted Hammer,57,52.6,-0.33
RUPALILIFE,signal,Bearish Engulfing,259,52.5,-0.47
RUPALILIFE,signal,Stochastic<20,1037,47.3,-0.5
RUPALILIFE,signal,Evening Star,71,57.7,-0.59
RUPALILIFE,signal,Price reclaims MA200,78,37.2,-0.8
RUPALILIFE,signal,Morning Star,93,36.6,-0.86
RUPALILIFE,signal,MACD bull cross,138,40.6,-1.05
RUPALILIFE,signal,Below lower Bollinger,206,44.7,-1.81
RUPALILIFE,signal,Bearish Harami,50,48.0,-1.98
RUPALILIFE,signal,Stochastic>80,498,51.2,-2.81
RUPALILIFE,signal,RSI>70 overbought,230,53.0,-2.86
RUPALILIFE,signal,52w-low breakdown,63,42.9,-3.32
RUPALILIFE,signal,Above upper Bollinger,273,45.4,-4.26
RUPALILIFE,bounce,2025-01-27,89.2,104.4,17
RUPALILIFE,bounce,2025-06-15,68.0,91.0,34
RUPALILIFE,bounce,2025-08-03,82.8,126.0,52
RUPALILIFE,bounce,2025-09-22,101.4,132.0,30
RUPALILIFE,bounce,2025-11-16,65.9,79.7,21
RUPALILIFE,bounce,2025-12-21,74.1,97.9,32
RUPALILIFE,bounce,2026-03-08,75.0,91.0,21
RUPALILIFE,bounce,2026-05-19,83.0,104.0,25
SAFKOSPINN,signal,Stretch<-30% vs MA200,410,55.6,5.06
SAFKOSPINN,signal,Above the Stomach,114,48.2,1.88
SAFKOSPINN,signal,Bullish Engulfing,82,50.0,1.68
SAFKOSPINN,signal,Morning Star,77,54.5,1.64
SAFKOSPINN,signal,Three Black Crows,83,62.7,1.06
SAFKOSPINN,signal,Bullish Harami,223,50.7,0.7
SAFKOSPINN,signal,52w-low breakdown,65,66.2,0.63
SAFKOSPINN,signal,Three Inside Up,35,54.3,0.62
SAFKOSPINN,signal,RSI<30 oversold,236,42.4,0.55
SAFKOSPINN,signal,Stochastic<20,1128,46.5,0.47
SAFKOSPINN,signal,Price reclaims MA200,65,53.8,0.37
SAFKOSPINN,signal,Inverted Hammer,60,43.3,0.22
SAFKOSPINN,signal,MACD bull cross,129,44.2,-0.03
SAFKOSPINN,signal,Double Bottom,91,52.7,-0.07
SAFKOSPINN,signal,Stretch>50% vs MA200,177,58.8,-0.41
SAFKOSPINN,signal,Bearish Engulfing,278,61.5,-0.47
SAFKOSPINN,signal,Below the Stomach,46,52.2,-0.53
SAFKOSPINN,signal,Three Outside Down,133,56.4,-0.79
SAFKOSPINN,signal,Below lower Bollinger,180,45.0,-0.94
SAFKOSPINN,signal,Double Top,72,61.1,-1.64
SAFKOSPINN,signal,MACD bear cross,134,53.0,-1.71
SAFKOSPINN,signal,Bearish Marubozu,75,45.3,-1.91
SAFKOSPINN,signal,Stochastic>80,451,49.7,-2.52
SAFKOSPINN,signal,Above upper Bollinger,291,50.2,-2.69
SAFKOSPINN,signal,Dark Cloud Cover,30,50.0,-2.86
SAFKOSPINN,signal,Three Outside Up,41,46.3,-3.5
SAFKOSPINN,signal,Evening Star,39,66.7,-3.83
SAFKOSPINN,signal,RSI>70 overbought,204,56.4,-3.86
SAFKOSPINN,signal,52w-high breakout,50,30.0,-4.14
SAFKOSPINN,signal,Bearish Harami,44,50.0,-5.49
SAFKOSPINN,bounce,2025-08-24,13.4,17.1,28
SAFKOSPINN,bounce,2025-09-01,14.5,17.8,23
SAFKOSPINN,bounce,2025-11-16,12.2,14.6,20
SAFKOSPINN,bounce,2026-03-08,12.4,17.3,40
SAFKOSPINN,bounce,2026-04-06,15.2,19.0,25
SAFKOSPINN,bounce,2026-04-23,16.9,22.2,31
SAFKOSPINN,bounce,2026-05-11,19.4,24.7,27
SAFKOSPINN,bounce,2026-06-21,18.3,21.9,20
SAIFPOWER,signal,52w-high breakout,35,71.4,5.43
SAIFPOWER,signal,Double Top,30,70.0,2.18
SAIFPOWER,signal,Below lower Bollinger,142,48.6,1.07
SAIFPOWER,signal,Bearish Engulfing,203,66.0,0.91
SAIFPOWER,signal,Bearish Marubozu,47,70.2,0.63
SAIFPOWER,signal,RSI<30 oversold,195,47.7,0.28
SAIFPOWER,signal,Three Black Crows,80,48.8,0.18
SAIFPOWER,signal,Bullish Engulfing,46,41.3,0.09
SAIFPOWER,signal,Above the Stomach,58,46.6,-0.02
SAIFPOWER,signal,MACD bull cross,78,47.4,-0.19
SAIFPOWER,signal,Stochastic>80,257,60.7,-0.38
SAIFPOWER,signal,Three Outside Down,126,58.7,-0.39
SAIFPOWER,signal,Stretch>50% vs MA200,108,58.3,-0.62
SAIFPOWER,signal,MACD bear cross,81,59.3,-0.65
SAIFPOWER,signal,Bullish Harami,161,41.0,-0.72
SAIFPOWER,signal,Stochastic<20,681,43.0,-0.86
SAIFPOWER,signal,Above upper Bollinger,129,58.9,-1.05
SAIFPOWER,signal,Morning Star,61,41.0,-1.43
SAIFPOWER,signal,52w-low breakdown,116,48.3,-2.01
SAIFPOWER,signal,Stretch<-30% vs MA200,265,30.9,-2.01
SAIFPOWER,signal,RSI>70 overbought,99,46.5,-3.53
SAIFPOWER,bounce,2025-08-25,5.5,7.1,29
SAIFPOWER,bounce,2025-11-16,3.8,5.8,53
SAIFPOWER,bounce,2026-01-27,4.6,7.5,63
SAIFPOWER,bounce,2026-03-04,6.2,7.4,19
SAIFPOWER,bounce,2026-03-12,6.6,8.0,21
SAIFPOWER,bounce,2026-05-21,5.8,7.5,29
SAIFPOWER,bounce,2026-06-08,6.4,10.2,59
SAIFPOWER,bounce,2026-06-22,8.3,11.5,39
SAIHAMCOT,signal,RSI<30 oversold,115,57.4,2.08
SAIHAMCOT,signal,Stretch>50% vs MA200,45,66.7,1.86
SAIHAMCOT,signal,Below lower Bollinger,130,53.8,1.44
SAIHAMCOT,signal,Stochastic<20,749,53.1,0.88
SAIHAMCOT,signal,Stochastic>80,284,64.1,0.19
SAIHAMCOT,signal,52w-high breakout,41,39.0,0.01
SAIHAMCOT,signal,Bearish Harami,34,52.9,-0.1
SAIHAMCOT,signal,Three Inside Up,32,53.1,-0.19
SAIHAMCOT,signal,Bullish Engulfing,56,42.9,-0.43
SAIHAMCOT,signal,Bearish Engulfing,220,59.1,-0.51
SAIHAMCOT,signal,Inverted Hammer,48,33.3,-0.64
SAIHAMCOT,signal,Bullish Harami,159,44.7,-0.8
SAIHAMCOT,signal,RSI>70 overbought,120,60.8,-0.91
SAIHAMCOT,signal,MACD bear cross,110,53.6,-1.0
SAIHAMCOT,signal,Above upper Bollinger,192,58.3,-1.26
SAIHAMCOT,signal,MACD bull cross,104,33.7,-1.41
SAIHAMCOT,signal,Above the Stomach,64,31.2,-1.57
SAIHAMCOT,signal,Three Outside Down,104,51.9,-1.65
SAIHAMCOT,signal,Below the Stomach,40,40.0,-1.67
SAIHAMCOT,signal,Morning Star,59,32.2,-1.83
SAIHAMCOT,signal,Three Black Crows,57,47.4,-1.97
SAIHAMCOT,signal,Double Top,40,47.5,-1.97
SAIHAMCOT,signal,Price reclaims MA200,46,26.1,-2.23
SAIHAMCOT,signal,Bearish Marubozu,46,45.7,-3.27
SAIHAMCOT,signal,52w-low breakdown,67,38.8,-4.31
SAIHAMCOT,bounce,2024-12-08,14.0,16.9,21
SAIHAMCOT,bounce,2025-01-29,14.4,17.0,18
SAIHAMCOT,bounce,2025-05-29,12.0,14.7,22
SAIHAMCOT,bounce,2025-07-27,13.1,19.4,48
SAIHAMCOT,bounce,2025-10-20,15.4,18.5,20
SAIHAMCOT,bounce,2025-11-13,15.4,20.5,33
SAIHAMCOT,bounce,2026-02-05,17.8,21.7,22
SAIHAMCOT,bounce,2026-04-05,18.1,22.9,27
SAIHAMTEX,signal,Stretch<-30% vs MA200,323,64.7,9.8
SAIHAMTEX,signal,Bullish Engulfing,99,51.5,6.64
SAIHAMTEX,signal,Stochastic<20,1079,51.1,5.63
SAIHAMTEX,signal,Stretch>50% vs MA200,270,59.6,4.22
SAIHAMTEX,signal,Price reclaims MA200,97,44.3,3.17
SAIHAMTEX,signal,Inverted Hammer,77,51.9,2.69
SAIHAMTEX,signal,Three Black Crows,61,50.8,2.0
SAIHAMTEX,signal,Above the Stomach,97,44.3,1.64
SAIHAMTEX,signal,Below lower Bollinger,184,49.5,1.12
SAIHAMTEX,signal,Morning Star,71,39.4,1.0
SAIHAMTEX,signal,Hanging Man,34,50.0,0.23
SAIHAMTEX,signal,Double Bottom,42,38.1,0.15
SAIHAMTEX,signal,Stochastic>80,444,60.6,0.11
SAIHAMTEX,signal,Bullish Harami,234,42.7,-0.05
SAIHAMTEX,signal,52w-low breakdown,124,62.1,-0.26
SAIHAMTEX,signal,Three Outside Down,151,57.6,-0.39
SAIHAMTEX,signal,Bearish Engulfing,291,57.4,-0.73
SAIHAMTEX,signal,Three Outside Up,45,40.0,-0.75
SAIHAMTEX,signal,Double Top,56,55.4,-0.79
SAIHAMTEX,signal,RSI<30 oversold,182,37.4,-1.18
SAIHAMTEX,signal,Above upper Bollinger,271,54.2,-1.81
SAIHAMTEX,signal,MACD bull cross,156,32.7,-3.25
SAIHAMTEX,signal,MACD bear cross,158,50.6,-4.04
SAIHAMTEX,signal,Bearish Marubozu,56,39.3,-4.51
SAIHAMTEX,signal,52w-high breakout,60,35.0,-5.51
SAIHAMTEX,signal,RSI>70 overbought,207,51.2,-6.46
SAIHAMTEX,signal,Evening Star,48,54.2,-7.75
SAIHAMTEX,signal,Bearish Harami,58,51.7,-8.73
SAIHAMTEX,signal,Below the Stomach,46,47.8,-9.87
SAIHAMTEX,bounce,2024-10-27,13.5,16.0,19
SAIHAMTEX,bounce,2024-11-13,14.2,16.7,18
SAIHAMTEX,bounce,2024-11-24,14.5,17.3,19
SAIHAMTEX,bounce,2025-06-23,12.1,15.9,31
SAIHAMTEX,bounce,2025-07-27,13.8,17.4,26
SAIHAMTEX,bounce,2025-11-13,13.7,25.1,83
SAIHAMTEX,bounce,2026-03-08,17.2,20.7,20
SAIHAMTEX,bounce,2026-04-12,17.0,19.9,17
SALAMCRST,signal,Stretch>50% vs MA200,200,75.0,13.72
SALAMCRST,signal,Below lower Bollinger,190,57.4,12.78
SALAMCRST,signal,Stretch<-30% vs MA200,396,51.0,7.99
SALAMCRST,signal,Stochastic<20,1217,48.2,5.67
SALAMCRST,signal,Stochastic>80,473,66.4,5.49
SALAMCRST,signal,RSI>70 overbought,131,63.4,4.14
SALAMCRST,signal,Price reclaims MA200,95,40.0,3.86
SALAMCRST,signal,Above the Stomach,134,41.0,3.37
SALAMCRST,signal,RSI<30 oversold,236,50.0,2.54
SALAMCRST,signal,Tweezer Bottom,31,51.6,2.49
SALAMCRST,signal,Inverted Hammer,82,42.7,1.93
SALAMCRST,signal,Bearish Harami,50,66.0,1.53
SALAMCRST,signal,Above upper Bollinger,233,63.5,1.37
SALAMCRST,signal,Three Inside Up,41,46.3,1.29
SALAMCRST,signal,Dark Cloud Cover,30,60.0,1.14
SALAMCRST,signal,Three Outside Down,130,52.3,0.26
SALAMCRST,signal,Shooting Star,31,67.7,0.1
SALAMCRST,signal,Three Black Crows,101,56.4,-0.25
SALAMCRST,signal,Bullish Harami,228,43.0,-0.88
SALAMCRST,signal,Bearish Engulfing,255,55.3,-1.07
SALAMCRST,signal,MACD bull cross,150,44.7,-1.33
SALAMCRST,signal,Bullish Engulfing,95,43.2,-1.41
SALAMCRST,signal,Double Bottom,61,36.1,-1.44
SALAMCRST,signal,52w-low breakdown,112,50.9,-1.59
SALAMCRST,signal,Evening Star,55,54.5,-3.64
SALAMCRST,signal,MACD bear cross,156,47.4,-4.36
SALAMCRST,signal,Morning Star,79,43.0,-4.66
SALAMCRST,signal,Three Outside Up,47,34.0,-4.87
SALAMCRST,signal,Double Top,84,47.6,-8.98
SALAMCRST,signal,Below the Stomach,81,48.1,-10.6
SALAMCRST,signal,52w-high breakout,45,26.7,-16.45
SALAMCRST,bounce,2025-09-01,17.8,21.8,22
SALAMCRST,bounce,2025-09-11,19.5,25.6,31
SALAMCRST,bounce,2025-10-28,14.4,18.4,28
SALAMCRST,bounce,2025-11-16,12.8,15.8,23
SALAMCRST,bounce,2025-11-23,14.3,17.5,22
SALAMCRST,bounce,2026-02-01,10.6,17.1,61
SALAMCRST,bounce,2026-02-22,14.9,18.4,23
SALAMCRST,bounce,2026-03-08,14.4,18.4,28
SALVO,signal,52w-high breakout,77,54.5,4.55
SALVO,signal,RSI<30 oversold,129,63.6,3.25
SALVO,signal,Bullish Engulfing,91,51.6,1.69
SALVO,signal,Morning Star,75,52.0,1.07
SALVO,signal,Below lower Bollinger,158,51.9,0.83
SALVO,signal,Inverted Hammer,64,46.9,0.8
SALVO,signal,Double Bottom,50,44.0,0.51
SALVO,signal,Bearish Engulfing,259,57.1,0.02
SALVO,signal,Above the Stomach,83,44.6,0.02
SALVO,signal,Stochastic<20,793,46.3,-0.0
SALVO,signal,Price reclaims MA200,47,34.0,-0.04
SALVO,signal,Three Outside Up,47,44.7,-0.2
SALVO,signal,Stretch<-30% vs MA200,218,47.7,-0.29
SALVO,signal,MACD bull cross,114,45.6,-0.43
SALVO,signal,Double Top,53,58.5,-0.64
SALVO,signal,Bullish Harami,148,42.6,-0.85
SALVO,signal,Bearish Harami,55,54.5,-1.76
SALVO,signal,MACD bear cross,115,49.6,-1.89
SALVO,signal,Three Outside Down,127,51.2,-1.98
SALVO,signal,Below the Stomach,46,52.2,-2.17
SALVO,signal,Evening Star,50,50.0,-2.39
SALVO,signal,Stochastic>80,406,53.0,-2.54
SALVO,signal,Above upper Bollinger,202,55.0,-2.56
SALVO,signal,Three Inside Up,36,25.0,-3.18
SALVO,signal,52w-low breakdown,65,38.5,-3.4
SALVO,signal,Three Black Crows,43,39.5,-4.73
SALVO,signal,RSI>70 overbought,156,45.5,-6.05
SALVO,signal,Stretch>50% vs MA200,171,42.7,-6.15
SALVO,bounce,2025-07-27,22.2,28.1,27
SALVO,bounce,2025-08-13,24.4,35.3,45
SALVO,bounce,2025-09-21,30.9,36.8,19
SALVO,bounce,2025-10-21,26.6,32.5,22
SALVO,bounce,2025-11-16,23.6,30.8,31
SALVO,bounce,2025-12-07,27.7,32.3,17
SALVO,bounce,2026-01-26,27.3,33.8,24
SALVO,bounce,2026-03-08,29.5,34.9,18
SAMATALETH,signal,Stretch<-30% vs MA200,242,65.7,10.86
SAMATALETH,signal,Inverted Hammer,85,55.3,6.03
SAMATALETH,signal,Stochastic<20,969,57.9,3.84
SAMATALETH,signal,52w-high breakout,87,50.6,3.3
SAMATALETH,signal,Below lower Bollinger,167,62.9,2.48
SAMATALETH,signal,RSI<30 oversold,116,48.3,2.11
SAMATALETH,signal,Bullish Engulfing,78,44.9,1.75
SAMATALETH,signal,Above the Stomach,74,41.9,0.94
SAMATALETH,signal,Bullish Harami,170,46.5,0.59
SAMATALETH,signal,Stretch>50% vs MA200,323,59.4,0.59
SAMATALETH,signal,Above upper Bollinger,244,61.9,0.1
SAMATALETH,signal,Double Bottom,71,43.7,-0.13
SAMATALETH,signal,Three Black Crows,51,45.1,-0.48
SAMATALETH,signal,Morning Star,70,51.4,-0.79
SAMATALETH,signal,Stochastic>80,466,57.7,-0.82
SAMATALETH,signal,Three Outside Up,37,40.5,-0.9
SAMATALETH,signal,RSI>70 overbought,166,58.4,-0.98
SAMATALETH,signal,Three Outside Down,75,56.0,-1.48
SAMATALETH,signal,Shooting Star,32,50.0,-1.54
SAMATALETH,signal,Bearish Engulfing,164,57.3,-1.59
SAMATALETH,signal,MACD bull cross,155,39.4,-2.18
SAMATALETH,signal,Price reclaims MA200,132,36.4,-2.71
SAMATALETH,signal,Bearish Marubozu,72,52.8,-3.04
SAMATALETH,signal,Double Top,95,43.2,-3.4
SAMATALETH,signal,MACD bear cross,155,47.7,-3.99
SAMATALETH,signal,Bearish Harami,62,51.6,-4.38
SAMATALETH,signal,52w-low breakdown,63,50.8,-5.41
SAMATALETH,signal,Evening Star,49,51.0,-5.61
SAMATALETH,signal,Below the Stomach,104,40.4,-5.64
SAMATALETH,signal,Hanging Man,38,47.4,-6.66
SAMATALETH,bounce,2025-12-21,75.2,95.9,28
SAMATALETH,bounce,2026-01-26,85.6,98.8,15
SAMATALETH,bounce,2026-03-09,77.3,90.1,17
SAMATALETH,bounce,2026-04-05,79.0,91.8,16
SAMATALETH,bounce,2026-04-19,81.0,114.3,41
SAMATALETH,bounce,2026-04-27,104.0,123.7,19
SAMATALETH,bounce,2026-05-03,108.3,124.8,15
SAMATALETH,bounce,2026-06-02,103.0,119.7,16
SAMORITA,signal,Stretch>50% vs MA200,91,68.1,15.38
SAMORITA,signal,Below lower Bollinger,155,63.2,7.31
SAMORITA,signal,Stretch<-30% vs MA200,213,62.0,7.26
SAMORITA,signal,RSI<30 oversold,65,73.8,4.89
SAMORITA,signal,RSI>70 overbought,152,62.5,1.99
SAMORITA,signal,Stochastic>80,417,57.8,1.85
SAMORITA,signal,Stochastic<20,1068,53.6,1.73
SAMORITA,signal,Inverted Hammer,115,62.6,1.59
SAMORITA,signal,Above upper Bollinger,278,59.0,0.93
SAMORITA,signal,Hanging Man,30,70.0,0.59
SAMORITA,signal,Bullish Harami,163,44.8,0.07
SAMORITA,signal,Below the Stomach,79,43.0,-0.17
SAMORITA,signal,Three Outside Down,93,53.8,-0.47
SAMORITA,signal,Above the Stomach,94,35.1,-0.7
SAMORITA,signal,MACD bull cross,145,45.5,-0.73
SAMORITA,signal,Morning Star,96,49.0,-0.95
SAMORITA,signal,Three Black Crows,54,53.7,-1.09
SAMORITA,signal,52w-high breakout,41,41.5,-1.21
SAMORITA,signal,Shooting Star,34,58.8,-1.38
SAMORITA,signal,Bearish Harami,43,51.2,-1.6
SAMORITA,signal,Bullish Engulfing,90,40.0,-1.64
SAMORITA,signal,Bearish Engulfing,200,48.0,-1.65
SAMORITA,signal,Price reclaims MA200,91,34.1,-1.66
SAMORITA,signal,Double Bottom,44,50.0,-1.69
SAMORITA,signal,Evening Star,51,43.1,-2.16
SAMORITA,signal,MACD bear cross,144,51.4,-2.17
SAMORITA,signal,Three Outside Up,35,25.7,-3.16
SAMORITA,signal,Double Top,73,46.6,-3.75
SAMORITA,signal,52w-low breakdown,53,35.8,-3.97
SAMORITA,bounce,2024-10-29,46.7,57.7,24
SAMORITA,bounce,2024-11-24,51.0,59.5,17
SAMORITA,bounce,2025-01-08,49.4,57.7,17
SAMORITA,bounce,2025-03-10,55.0,63.9,16
SAMORITA,bounce,2025-06-15,53.5,83.4,56
SAMORITA,bounce,2025-11-16,63.0,73.7,17
SAMORITA,bounce,2025-12-21,64.0,75.3,18
SAMORITA,bounce,2026-03-08,64.0,73.9,15
SANDHANINS,signal,Stretch<-30% vs MA200,247,69.2,5.68
SANDHANINS,signal,RSI<30 oversold,182,62.1,3.35
SANDHANINS,signal,RSI>70 overbought,162,61.1,1.41
SANDHANINS,signal,Below lower Bollinger,201,53.7,1.4
SANDHANINS,signal,Inverted Hammer,99,51.5,1.15
SANDHANINS,signal,Stochastic<20,1181,50.0,1.03
SANDHANINS,signal,Below the Stomach,61,50.8,0.97
SANDHANINS,signal,Stochastic>80,486,59.3,0.64
SANDHANINS,signal,Above upper Bollinger,259,56.0,0.54
SANDHANINS,signal,Three Black Crows,81,50.6,0.5
SANDHANINS,signal,Double Top,57,50.9,-0.39
SANDHANINS,signal,Three Outside Down,130,54.6,-0.51
SANDHANINS,signal,Bullish Harami,202,41.6,-0.66
SANDHANINS,signal,Bearish Engulfing,267,51.7,-0.73
SANDHANINS,signal,Above the Stomach,105,41.0,-0.9
SANDHANINS,signal,Evening Star,56,50.0,-1.02
SANDHANINS,signal,Hanging Man,33,45.5,-1.08
SANDHANINS,signal,Bullish Engulfing,95,46.3,-1.09
SANDHANINS,signal,Morning Star,94,42.6,-1.55
SANDHANINS,signal,MACD bear cross,164,48.8,-1.8
SANDHANINS,signal,Bearish Harami,63,42.9,-1.93
SANDHANINS,signal,MACD bull cross,164,40.9,-2.1
SANDHANINS,signal,52w-low breakdown,94,38.3,-2.46
SANDHANINS,signal,Three Outside Up,45,42.2,-2.99
SANDHANINS,signal,Double Bottom,45,37.8,-3.06
SANDHANINS,signal,Price reclaims MA200,123,32.5,-3.54
SANDHANINS,signal,52w-high breakout,40,30.0,-7.92
SANDHANINS,bounce,2024-11-10,18.5,22.9,24
SANDHANINS,bounce,2025-02-18,19.2,24.4,27
SANDHANINS,bounce,2025-05-29,17.0,27.6,62
SANDHANINS,bounce,2025-11-16,17.1,20.4,19
SANDHANINS,bounce,2025-12-04,17.8,20.5,15
SANDHANINS,bounce,2025-12-21,18.5,22.6,22
SANDHANINS,bounce,2026-03-08,18.8,23.8,27
SANDHANINS,bounce,2026-05-06,21.6,26.8,24
SAPORTL,signal,52w-high breakout,68,52.9,3.57
SAPORTL,signal,Stretch<-30% vs MA200,377,55.2,2.88
SAPORTL,signal,Evening Star,49,51.0,2.01
SAPORTL,signal,Below lower Bollinger,170,54.1,1.44
SAPORTL,signal,Double Top,71,59.2,1.42
SAPORTL,signal,Three Inside Up,38,50.0,0.69
SAPORTL,signal,Bullish Harami,205,50.7,0.55
SAPORTL,signal,RSI<30 oversold,203,37.4,0.31
SAPORTL,signal,Stochastic<20,1225,46.0,0.08
SAPORTL,signal,Stochastic>80,494,58.3,0.07
SAPORTL,signal,Bullish Engulfing,92,53.3,-0.18
SAPORTL,signal,Three Outside Down,149,53.0,-0.39
SAPORTL,signal,Inverted Hammer,69,43.5,-0.41
SAPORTL,signal,Above upper Bollinger,261,62.1,-0.47
SAPORTL,signal,MACD bull cross,136,37.5,-0.48
